principle_id,new_title,legacy_problem_or_rule,status,short_rule
SKP-001,Kalibrert tolkning: observasjon → mønster → hypotese → test,"Gamle regler forsøkte i stor grad å hindre inferens, profilering og diagnostisk språk fra aktivitetshendelser.",REVISED_CANON,Observer konkret. Inferer kalibrert. Test hypoteser. Diagnose krever diagnostisk evidens.
SKP-002,"Transparent, korrigerbar personlig modell",Langsgående profil og kryssøktpersonalisering var tidligere sperret.,REVISED_CANON,Skynja skal lære personen å kjenne uten å late som modellen er personen.
SKP-003,Støttepersonen som medobservatør og medutforsker,Støttepersonrollen var tidligere snevert definert som øktleder eller mottaker av korte kort.,REVISED_CANON,"Støttepersonen kan bidra til modellen, men skal ikke definere personen."
SKP-004,Relasjonen som eksplisitt produktmål,"Relasjonell motivasjon var tidligere viktig, men hovedsakelig som vern mot manipulerende gamification.",REVISED_CANON,God støtte skal ikke bare løse oppgaven; den skal kunne gjøre samarbeidet bedre.
SKP-005,Reell støttepersonkompetanse,"Voksenflaten var primært designet for én kort, situasjonell handling.",REVISED_CANON,Målet er bedre støtte også når Skynja ikke er åpen.
SKP-006,Eget kunnskapsområde for støttepersoner og brukere,Fordypning var tidligere hovedsakelig et skjult lag bak korte situasjonskort.,REVISED_CANON,Situasjonsstøtte og kunnskapsbygging er to sider av samme system.
SKP-007,Prøverommet skal lære dømmekraft,Tidlige aktiviteter kunne bli for mekaniske og fokusere på ett riktig neste steg.,REVISED_CANON,"Prøverommet skal utvikle dømmekraft, ikke bare svarmønstre."
SKP-008,Riktig støtte fremfor minst mulig støtte,Tidligere stillaslogikk favoriserte ofte minste tilstrekkelige støtte og fading.,REVISED_CANON,Gi den støtten som faktisk gjør arbeidet bedre.
SKP-009,Delt beslutningstaking og profesjonelt skjønn,Gamle kontrakter la mye myndighet i lærerport eller systemforbud.,REVISED_CANON,Brukerens erfaring + faglig skjønn + sporbar systemstøtte.
SKP-010,Intelligent inferens med konkurrerende forklaringer,Inferens fra brukerhendelser var tidligere i stor grad forbudt.,REVISED_CANON,"Inferer for å lære, ikke for å stemple."
SKP-011,Psykologisk kompetent støtte uten falsk klinisk autoritet,Tidligere retning ønsket å holde terapi og psykologiske mekanismer langt utenfor produktet.,REVISED_CANON,Bruk psykologi når det hjelper; ikke lat som støtte er behandling.
SKP-012,Ambisiøs produktdybde uten unødvendig brukerkompleksitet,Mange tidlige regler var optimalisert mot minste mulige første produkt og svært smale funksjoner.,REVISED_CANON,"Stor dybde internt, riktig enkelhet i øyeblikket."
SKP-013,Kontekstuell forståelse av støttepersonen,"Roller som lærer, foresatt og spesialpedagog var tidligere relativt faste produktsegmenter.",REVISED_CANON,"Forstå hvem personen er i denne situasjonen, ikke bare hvilken rollelabel de har."
SKP-014,To koordinerte flater når to mennesker samarbeider,Én-enhet/Sammen-modus var tidligere kanonisk hovedretning i deler av styringen.,REVISED_CANON,To mennesker bør få to roller – og gjerne to flater.
SKP-015,Dynamisk samspillsmodell,"Tidligere dyaderegler favoriserte en fast sekvens med handling, forklaring og tilbakeføring av kontroll.",REVISED_CANON,Forstå → støtte → forklar → fordel → vurder på nytt.
SKP-016,"Støtte etter formål, ikke bare trening versus kompensasjon",Trening og ACCESS var tidligere svært hardt separerte hovedbaner.,REVISED_CANON,Mål → hinder → støttehensikt → tiltak → effekt → ny vurdering.
SKP-017,Dobbel læringsarkitektur for støttepersoner,Støttepersonopplæring var tidligere hovedsakelig situasjonskort.,REVISED_CANON,Lær i situasjonen – og bygg varig kompetanse utenfor den.
SKP-018,Metakognitiv støttekompetanse og selvadvokering,Eldre produktlogikk var mer opptatt av korrekt støtteutførelse enn av at brukeren selv skulle bli strategisk ekspert.,REVISED_CANON,Skynja skal hjelpe personen bli ekspert på egen støtte.
SKP-019,Ingen kunstig kompetansegrense for støttepersoner,Tidligere design kunne begrense dybde ut fra formell rolle.,REVISED_CANON,Tittel bestemmer ikke automatisk hvor mye du får lov til å forstå.
SKP-020,"Bruker- og situasjonsførst, ikke familie-først",Tidligere arbeid hadde sterke foreldre-/lærergrener og familieorienterte modeller.,REVISED_CANON,Brukeren er sentrum. Situasjonen gir målet. Rollen gir kontekst.
SKP-021,Felles kjerne og kontekstuelle kapabiliteter,Segmenter og 80/20-tenkning kunne gi separate produktvarianter for ulike roller og aldersgrupper.,REVISED_CANON,Én kjerne. Ulike kapabiliteter når konteksten krever det.
SKP-022,Formålsdrevet observasjon fremfor generelt overvåkingsforbud,Observasjon og profilering var tidligere sterkt sperret for å hindre overvåking.,REVISED_CANON,Observer rikt. Tolk kalibrert. Del selektivt.
SKP-023,Produktets nordstjerne,Tidlige planer kunne snevre produktet til spesifikke skole- og Guided-Dyad-scenarier.,REVISED_CANON,Skynja lærer hva som hjelper deg – og hjelper deg og menneskene rundt deg å lære det samme.
SKP-024,Fra veilederavhengighet til avansert beslutningsstøtte,Tidligere fadinglogikk kunne gjøre 'mindre behov for appen' til implisitt sluttmål.,REVISED_CANON,"Bedre brukerkompetanse skal gjøre Skynja mer avansert, ikke nødvendigvis mindre relevant."
SKP-025,Meningsfull progresjon for støttepersoner,Gamification ble tidligere i stor grad forbudt av frykt for manipulasjon.,REVISED_CANON,"Progresjon skal representere kompetanse, ikke appbruk."
SKP-026,Vedvarende kontinuitet og intelligent minne,Historikk og kryssøktminne var tidligere eksplisitt sperret.,REVISED_CANON,Husk det som skaper læring. Glem det som bare skaper historikk.
SKP-027,Kontrollert samarbeid og selektiv deling,"Gamle regler favoriserte svært lite deling mellom hjem, skole og roller.",REVISED_CANON,"Koordiner støtte, ikke overvåk personen."
SKP-028,Multimodal støtte som kjernekapabilitet,"Mikrofon, kamera, fri tekst og dynamisk lyd var tidligere generelt sperret eller sterkt begrenset.",REVISED_CANON,"Bruk modaliteten som fjerner barrieren. Bevar signalet som skaper verdi, ikke nødvendigvis rådata."
SKP-029,Fleksibelt identitetslag uten kontotvang,Tidligere baseliner unngikk stabil elev-ID helt.,REVISED_CANON,Identitet muliggjør kontinuitet; den skal ikke automatisk gi noen tilgang.
SKP-030,"Kartlegging, screening, vurdering og diagnose som tydelig kontinuum","Screening, diagnostikk og varige inferenser var tidligere nesten helt utenfor produktet.",REVISED_CANON,Mål funksjon når det hjelper. Screen eksplisitt. Diagnose krever diagnostisk evidens.
SKP-031,AI-native runtime med deterministiske grenser,Runtime-AI og generativ elevrettet funksjon var tidligere ikke godkjent.,REVISED_CANON,Deterministiske grenser. Generativ fleksibilitet. Kalibrert autonomi.
SKP-032,Multidimensjonal adaptiv progresjon,Gamle modeller var redde for automatisk nivåplassering og global progresjon.,REVISED_CANON,Tilpass progresjonen uten å redusere personen til et nivå.
SKP-033,Tid som signal – ikke som dom,Responstid og mikroatferd var tidligere ofte forbudt som pedagogiske signaler.,REVISED_CANON,Mål uten å presse. Tolk uten å rangere.
SKP-034,Meningsfull motivasjon og gamification,"Gamification, streaks og poeng var tidligere i stor grad sperret.",REVISED_CANON,"Belønn mening, mestring og utforsking – ikke bare aktivitet."
SKP-035,Narrativ kan være selve læringsmekanismen,Narrativ skulle tidligere kunne fjernes uten å påvirke ferdighetsmotor eller progresjon.,REVISED_CANON,Dekorasjon kan fjernes. Kontekst skal begrunnes. Simulering kan være selve læringen.
SKP-036,Konsekvens- og mandatstyrte menneskeporter,Tidligere B6 la lærerport på et stort antall pedagogiske handlinger.,REVISED_CANON,Rammer styres. Mikrovalg delegeres. Unntak eskaleres.
SKP-037,"Utviklings-, kompetanse- og kontekstsensitiv personalisering","Produktet var tidligere organisert i faste aldersbånd som 6–9, 10–12 og 13–16.",REVISED_CANON,Alder setter noen rammer. Personen er ikke en aldersmodus.
SKP-038,"Personlig, mekanismeorientert og metakognitiv feedback","Feedback skulle tidligere være kort, oppgaveorientert og uttrykkelig ikke-personlig.",REVISED_CANON,Beskriv det som skjedde. Forklar det vi har grunnlag for. Knytt det til personen uten å låse identitet.
SKP-039,Koordinert støtte fremfor én handling / én voksen som dogme,"Guided Dyad brukte ONE-CARD-ONE-ACTION, ONE-ACTION-ONE-RESPONSE og ONE-ACTIVE-ADULT som sterke baselinekrav.",REVISED_CANON,Én tydelig intensjon. Så mange komponenter og aktører som faktisk trengs – men aldri flere enn det.
SKP-040,Adaptiv informasjonsdybde fremfor universell minimalisme,Gamle voksenkort og UX-regler favoriserte svært korte første lag og 'minst mulig informasjon'.,REVISED_CANON,Komprimer for øyeblikket. Bevar dybden. La brukeren åpne den.
SKP-041,Lukket kunnskapsgrunnlag med åpen resonnering,Tidligere runtime-AI var sperret; senere AI-native retning skaper behov for en eksplisitt epistemisk grense.,REVISED_CANON,Lukket kunnskap. Åpen resonnering. Sporbare påstander. Ingen skjult modellautoritet.
SKP-042,Evidens som levende styringssystem,Gamle pakker brukte sterke AUTHORIZED / NOT_AUTHORIZED-skiller.,REVISED_CANON,Gradér evidensen. Avgrens claimet. Spor motfunnene. Skaler handling etter sikkerhet og konsekvens.
SKP-043,Støttet mestring er også mestring – men av en annen type,Tidligere modeller krevde ny ustøttet respons etter modellering og behandlet full modell som ikke-evidens for selvstendig status.,REVISED_CANON,Spor støtten presist. Verdsett funksjonen ærlig.
SKP-044,Relevante comparatorer fremfor L0-tvang,"L0 var obligatorisk baseline, og en aktivitet som ikke kunne kjøres i L0 var tidligere problematisk.",REVISED_CANON,Ingen L0-tvang. Alltid relevant comparator når vi hevder merverdi.
SKP-045,Tydelig handlingshierarki fremfor én-handlingsgrensesnitt,COGA-regler og voksenkort la sterk vekt på én primær handling per aktivitetstrinn.,REVISED_CANON,Ett tydelig fokus. Ikke nødvendigvis én knapp.
SKP-046,"Gradert støtte, trygging og menneskelig eskalering","STOPP-BELASTNING og sikkerhetslogikk gikk raskt til stopp, trygg avslutning eller menneskeport.",REVISED_CANON,Støtt når det er vanskelig. Reduser når det blir for mye. Stopp når brukeren sier stopp. Eskaler når konsekvensen krever det.
SKP-047,Meningsfull aktivitetsatferd som kalibrert evidens,"Gamle regler avviste inferens om readiness, ability, motivation, emotion og support need fra task events.",REVISED_CANON,Logg ikke for å profilere. Observer for å forstå. Inferer bare det aktiviteten faktisk kan bære.
SKP-048,AI-støttet forfatterskap med bevart brukerintensjon,Elevrettet generativ AI og generativ fagtekst var tidligere ikke autorisert fordi AI kunne overta faginnhold og forfatterskap.,REVISED_CANON,Bevar brukerens intensjon. Spor AI-ens bidrag. Beskytt konstruktet – ikke tastaturet.
SKP-049,Formålsdrevet datatilstrekkelighet,Dataminimering ble ofte operationalisert som svært lite persistens og øktbundet data.,REVISED_CANON,"Bevar verdi, ikke datastøy."
